ID,date,line,schedule,unplanned_stoppages,planned_stoppages,work_station,equipment,failure_type,sub_code,failure_description
01012026 Shift C.xlsmD BMW M550i A-PILLAR_1,01/01/2026,D BMW M550i A-PILLAR,00:13,10,,MS_120,Hydraulic_Press,Material_Failure,Missing_Component,Tool changeover took longer than expected
01012026 Shift C.xlsmD BMW M550i A-PILLAR_2,01/01/2026,D BMW M550i A-PILLAR,00:20,,30,,,,,Break
01012026 Shift C.xlsmD BMW M550i A-PILLAR_3,01/01/2026,D BMW M550i A-PILLAR,00:40,10,,MS_110,Welding_Robot,Welding_Failure,Weld_Porosity,Communication error with PLC
01012026 Shift C.xlsmD BMW M550i A-PILLAR_4,01/01/2026,D BMW M550i A-PILLAR,00:51,,20,,,,,Break
01012026 Shift C.xlsmD BMW M550i A-PILLAR_5,01/01/2026,D BMW M550i A-PILLAR,01:05,7,,WS_420,Welding_Robot,Electrical_Failure,PLC_Error,Communication error with PLC
01012026 Shift C.xlsmD BMW M550i A-PILLAR_6,01/01/2026,D BMW M550i A-PILLAR,01:15,,5,,,,,Changeover
01012026 Shift C.xlsmD BMW M550i A-PILLAR_7,01/01/2026,D BMW M550i A-PILLAR,01:26,3,,MS_130,Riveting_Tool,Welding_Failure,Weld_Porosity,PLC reset performed
01012026 Shift C.xlsmD BMW M550i A-PILLAR_8,01/01/2026,D BMW M550i A-PILLAR,01:28,,10,,,,,Changeover
01012026 Shift C.xlsmD BMW M550i A-PILLAR_9,01/01/2026,D BMW M550i A-PILLAR,01:44,2,,BS_230,Riveting_Tool,Mechanical_Failure,Bearing_Worn,Sensor needs calibration
01012026 Shift C.xlsmD BMW M550i A-PILLAR_10,01/01/2026,D BMW M550i A-PILLAR,01:59,5,,BS_220,Conveyor_Belt,Material_Failure,Bent_Part,Emergency stop triggered
01012026 Shift C.xlsmD BMW M550i A-PILLAR_11,01/01/2026,D BMW M550i A-PILLAR,02:00,20,,BS_220,Hydraulic_Press,Mechanical_Failure,Motor_Failure,Quality scanner failed to read
01012026 Shift C.xlsmD BMW M550i A-PILLAR_12,01/01/2026,D BMW M550i A-PILLAR,02:29,10,,WS_410,Quality_Scanner,Welding_Failure,Weld_Crack,Part stuck in fixture
01012026 Shift C.xlsmD BMW M550i A-PILLAR_13,01/01/2026,D BMW M550i A-PILLAR,02:42,10,,AS_330,Spot_Welder,Mechanical_Failure,Pneumatic_Leak,Motor overheated
01012026 Shift C.xlsmD BMW M550i A-PILLAR_14,01/01/2026,D BMW M550i A-PILLAR,02:43,3,,BS_230,Riveting_Tool,Mechanical_Failure,Belt_Broken,Sensor needs calibration
01012026 Shift C.xlsmD BMW M550i A-PILLAR_15,01/01/2026,D BMW M550i A-PILLAR,02:56,,20,,,,,Break
01012026 Shift C.xlsmD BMW M550i A-PILLAR_16,01/01/2026,D BMW M550i A-PILLAR,03:17,15,,WS_420,Gluing_Robot,Mechanical_Failure,Pneumatic_Leak,Pneumatic valve replaced
